Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
sto3G,HAl,HeMg,1,1.3,3.3682814722867285,-195.7997032716639,-196.696725235507,-198.025410902927,2.2257076312631057,0.8970219638430876,1.328685667420018
sto3G,HAl,HeMg,2,1.3,3.3682814722867285,-196.5158150232279,-196.696725235507,-198.025410902927,1.5095958796991056,0.18091021227908755,1.328685667420018
sto3G,HAl,HeMg,3,1.3,3.3682814722867285,-196.70033658086493,-196.696725235507,-198.025410902927,1.325074322062079,-0.0036113453579389443,1.328685667420018
sto3G,HAl,HeMg,4,1.3,3.3682814722867285,-196.72134818737376,-196.696725235507,-198.025410902927,1.3040627155532434,-0.024622951866774656,1.328685667420018
sto3G,HAl,HeMg,5,1.3,3.3682814722867285,-196.72252394442103,-196.696725235507,-198.025410902927,1.3028869585059795,-0.02579870891403857,1.328685667420018
sto3G,HAl,HeMg,1,1.4000000000000001,3.3970462266139982,-196.14189570244818,-197.068530009651,-198.407368557319,2.265472854870808,0.9266343072028178,1.33883854766799
sto3G,HAl,HeMg,2,1.4000000000000001,3.3970462266139982,-196.91840753473647,-197.068530009651,-198.407368557319,1.4889610225825152,0.15012247491452513,1.33883854766799
sto3G,HAl,HeMg,3,1.4000000000000001,3.3970462266139982,-197.1068678924191,-197.068530009651,-198.407368557319,1.3005006648998858,-0.03833788276810424,1.33883854766799
sto3G,HAl,HeMg,4,1.4000000000000001,3.3970462266139982,-197.11277966168566,-197.068530009651,-198.407368557319,1.294588895633325,-0.04424965203466513,1.33883854766799
sto3G,HAl,HeMg,5,1.4000000000000001,3.3970462266139982,-197.0938477371645,-197.068530009651,-198.407368557319,1.31352082015448,-0.025317727513510135,1.33883854766799
sto3G,HAl,HeMg,1,1.5,3.3819548712909695,-196.41978166732707,-197.353071321505,-198.700858704808,2.281077037480941,0.9332896541779405,1.3477873833030003
sto3G,HAl,HeMg,2,1.5,3.3819548712909695,-197.2391060922159,-197.353071321505,-198.700858704808,1.4617526125921074,0.11396522928910713,1.3477873833030003
sto3G,HAl,HeMg,3,1.5,3.3819548712909695,-197.41558375702866,-197.353071321505,-198.700858704808,1.2852749477793566,-0.06251243552364372,1.3477873833030003
sto3G,HAl,HeMg,4,1.5,3.3819548712909695,-197.39732664933203,-197.353071321505,-198.700858704808,1.3035320554759835,-0.0442553278270168,1.3477873833030003
sto3G,HAl,HeMg,5,1.5,3.3819548712909695,-197.35883932639874,-197.353071321505,-198.700858704808,1.342019378409276,-0.00576800489372431,1.3477873833030003
sto3G,HAl,HeMg,1,1.6,3.374270102169952,-196.6410018683337,-197.573013283668,-198.926288142204,2.285286273870298,0.9320114153343013,1.3532748585359968
sto3G,HAl,HeMg,2,1.6,3.374270102169952,-197.48917459654334,-197.573013283668,-198.926288142204,1.437113545660651,0.08383868712465414,1.3532748585359968
sto3G,HAl,HeMg,3,1.6,3.374270102169952,-197.6460943162995,-197.573013283668,-198.926288142204,1.2801938259044903,-0.07308103263150656,1.3532748585359968
sto3G,HAl,HeMg,4,1.6,3.374270102169952,-197.6058961340725,-197.573013283668,-198.926288142204,1.3203920081314777,-0.032882850404519104,1.3532748585359968
sto3G,HAl,HeMg,5,1.6,3.374270102169952,-197.55963787062885,-197.573013283668,-198.926288142204,1.3666502715751392,0.013375413039142359,1.3532748585359968
sto3G,HAl,HeMg,1,1.7000000000000002,3.3531684655660583,-196.81530198783543,-197.745697704434,-199.100406554223,2.285104566387588,0.9303957165985821,1.3547088497890059
sto3G,HAl,HeMg,2,1.7000000000000002,3.3531684655660583,-197.68421937395945,-197.745697704434,-199.100406554223,1.416187180263563,0.0614783304745572,1.3547088497890059
sto3G,HAl,HeMg,3,1.7000000000000002,3.3531684655660583,-197.8210392138018,-197.745697704434,-199.100406554223,1.279367340421203,-0.07534150936780293,1.3547088497890059
sto3G,HAl,HeMg,4,1.7000000000000002,3.3531684655660583,-197.76526663075296,-197.745697704434,-199.100406554223,1.3351399234700523,-0.019568926318953572,1.3547088497890059
sto3G,HAl,HeMg,5,1.7000000000000002,3.3531684655660583,-197.7201717541266,-197.745697704434,-199.100406554223,1.3802348000964173,0.02552595030741145,1.3547088497890059
sto3G,HAl,HeMg,1,1.8,3.3517465230525674,-196.95210908504453,-197.883218421036,-199.236037196591,2.283928111546487,0.9311093359914651,1.352818775555022
sto3G,HAl,HeMg,2,1.8,3.3517465230525674,-197.83824302285558,-197.883218421036,-199.236037196591,1.3977941737354342,0.044975398180412185,1.352818775555022
sto3G,HAl,HeMg,3,1.8,3.3517465230525674,-197.95749676054862,-197.883218421036,-199.236037196591,1.278540436042391,-0.07427833951263096,1.352818775555022
sto3G,HAl,HeMg,4,1.8,3.3517465230525674,-197.8913483634184,-197.883218421036,-199.236037196591,1.3446888331726257,-0.008129942382396393,1.352818775555022
sto3G,HAl,HeMg,5,1.8,3.3517465230525674,-197.85075699875586,-197.883218421036,-199.236037196591,1.3852801978351579,0.03246142228013582,1.352818775555022
sto3G,HAl,HeMg,1,1.9000000000000001,3.333523294309257,-197.05934283101615,-197.993927982515,-199.342704514677,2.283361683660843,0.934585151498851,1.3487765321619918
sto3G,HAl,HeMg,2,1.9000000000000001,3.333523294309257,-197.9618666509934,-197.993927982515,-199.342704514677,1.3808378636836096,0.03206133152161783,1.3487765321619918
sto3G,HAl,HeMg,3,1.9000000000000001,3.333523294309257,-198.06663516283814,-197.993927982515,-199.342704514677,1.2760693518388564,-0.07270718032313539,1.3487765321619918
sto3G,HAl,HeMg,4,1.9000000000000001,3.333523294309257,-197.99297665951022,-197.993927982515,-199.342704514677,1.3497278551667762,0.000951323004784399,1.3487765321619918
sto3G,HAl,HeMg,5,1.9000000000000001,3.333523294309257,-197.95676437993345,-197.993927982515,-199.342704514677,1.3859401347435494,0.0371636025815576,1.3487765321619918
sto3G,HAl,HeMg,1,2.0,3.338514260603419,-197.14332233938134,-198.0837361893,-199.427410142983,2.2840878036016647,0.9404138499186558,1.343673953683009
sto3G,HAl,HeMg,2,2.0,3.338514260603419,-198.0627813992686,-198.0837361893,-199.427410142983,1.3646287437144053,0.020954790031396442,1.343673953683009
sto3G,HAl,HeMg,3,2.0,3.338514260603419,-198.15571989423722,-198.0837361893,-199.427410142983,1.2716902487457844,-0.0719837049372245,1.343673953683009
sto3G,HAl,HeMg,4,2.0,3.338514260603419,-198.07555404998033,-198.0837361893,-199.427410142983,1.3518560930026808,0.008182139319671933,1.343673953683009
sto3G,HAl,HeMg,5,2.0,3.338514260603419,-198.04199146065304,-198.0837361893,-199.427410142983,1.38541868232997,0.041744728646960994,1.343673953683009
sto3G,HAl,HeMg,1,2.1,3.3449146330088952,-197.2088915866024,-198.156970821209,-199.495311472042,2.2864198854396136,0.9480792346066096,1.338340650833004
sto3G,HAl,HeMg,2,2.1,3.3449146330088952,-198.14643169740447,-198.156970821209,-199.495311472042,1.3488797746375383,0.010539123804534256,1.338340650833004
sto3G,HAl,HeMg,3,2.1,3.3449146330088952,-198.22961213797078,-198.156970821209,-199.495311472042,1.265699334071229,-0.07264131676177499,1.338340650833004
sto3G,HAl,HeMg,4,2.1,3.3449146330088952,-198.14272469497166,-198.156970821209,-199.495311472042,1.3525867770703428,0.014246126237338785,1.338340650833004
