Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
321G,HAl,HeMg,1,1.3,3.7304122083237945,-197.0660399419774,-197.925931919003,-199.620100209747,2.554060267769586,0.8598919770255975,1.6941682907439883
321G,HAl,HeMg,2,1.3,3.7304122083237945,-197.78664570070055,-197.925931919003,-199.620100209747,1.8334545090464474,0.13928621830245902,1.6941682907439883
321G,HAl,HeMg,3,1.3,3.7304122083237945,-197.93253782846213,-197.925931919003,-199.620100209747,1.687562381284863,-0.006605909459125314,1.6941682907439883
321G,HAl,HeMg,4,1.3,3.7304122083237945,-197.93086203991408,-197.925931919003,-199.620100209747,1.6892381698329189,-0.00493012091106948,1.6941682907439883
321G,HAl,HeMg,5,1.3,3.7304122083237945,-197.93087988651345,-197.925931919003,-199.620100209747,1.6892203232335419,-0.0049479675104464604,1.6941682907439883
321G,HAl,HeMg,1,1.4000000000000001,3.7922428089611486,-197.38432962291895,-198.308142067395,-199.993366418542,2.609036795623041,0.9238124444760558,1.685224351146985
321G,HAl,HeMg,2,1.4000000000000001,3.7922428089611486,-198.15580685960532,-198.308142067395,-199.993366418542,1.8375595589366753,0.15233520778969023,1.685224351146985
321G,HAl,HeMg,3,1.4000000000000001,3.7922428089611486,-198.31800999451906,-198.308142067395,-199.993366418542,1.6753564240229366,-0.009867927124048492,1.685224351146985
321G,HAl,HeMg,4,1.4000000000000001,3.7922428089611486,-198.31696029247374,-198.308142067395,-199.993366418542,1.6764061260682581,-0.008818225078726982,1.685224351146985
321G,HAl,HeMg,5,1.4000000000000001,3.7922428089611486,-198.31867270120753,-198.308142067395,-199.993366418542,1.6746937173344634,-0.010530633812521728,1.685224351146985
321G,HAl,HeMg,1,1.5,3.81415897512576,-197.63528232439327,-198.610048964437,-200.283138393914,2.6478560695207136,0.9747666400437254,1.6730894294769882
321G,HAl,HeMg,2,1.5,3.81415897512576,-198.4509416899844,-198.610048964437,-200.283138393914,1.8321967039295828,0.15910727445259454,1.6730894294769882
321G,HAl,HeMg,3,1.5,3.81415897512576,-198.6263027596012,-198.610048964437,-200.283138393914,1.6568356343127846,-0.016253795164203666,1.6730894294769882
321G,HAl,HeMg,4,1.5,3.81415897512576,-198.6236426351189,-198.610048964437,-200.283138393914,1.6594957587950887,-0.013593670681899539,1.6730894294769882
321G,HAl,HeMg,5,1.5,3.81415897512576,-198.624116885469,-198.610048964437,-200.283138393914,1.6590215084449937,-0.014067921031994501,1.6730894294769882
321G,HAl,HeMg,1,1.6,3.8380929613988695,-197.83044020512426,-198.84591288624,-200.507138568503,2.6766983633787333,1.0154726811157389,1.6612256822629945
321G,HAl,HeMg,2,1.6,3.8380929613988695,-198.68298539419519,-198.84591288624,-200.507138568503,1.8241531743078099,0.16292749204481538,1.6612256822629945
321G,HAl,HeMg,3,1.6,3.8380929613988695,-198.86849238506954,-198.84591288624,-200.507138568503,1.6386461834334511,-0.022579498829543354,1.6612256822629945
321G,HAl,HeMg,4,1.6,3.8380929613988695,-198.86245689162809,-198.84591288624,-200.507138568503,1.6446816768749102,-0.016544005388084315,1.6612256822629945
321G,HAl,HeMg,5,1.6,3.8380929613988695,-198.8604193300372,-198.84591288624,-200.507138568503,1.6467192384658063,-0.01450644379718824,1.6612256822629945
321G,HAl,HeMg,1,1.7000000000000002,3.839320020991588,-197.980700680045,-199.029919172122,-200.680038184626,2.6993375045809955,1.0492184920769887,1.6501190125040068
321G,HAl,HeMg,2,1.7000000000000002,3.839320020991588,-198.86383449021832,-199.029919172122,-200.680038184626,1.816203694407676,0.1660846819036692,1.6501190125040068
321G,HAl,HeMg,3,1.7000000000000002,3.839320020991588,-199.05745190493607,-199.029919172122,-200.680038184626,1.6225862796899264,-0.02753273281408042,1.6501190125040068
321G,HAl,HeMg,4,1.7000000000000002,3.839320020991588,-199.04743879666515,-199.029919172122,-200.680038184626,1.6325993879608518,-0.017519624543155032,1.6501190125040068
321G,HAl,HeMg,5,1.7000000000000002,3.839320020991588,-199.042976499665,-199.029919172122,-200.680038184626,1.6370616849609974,-0.013057327543009478,1.6501190125040068
321G,HAl,HeMg,1,1.8,3.8532540242495212,-198.09549858751043,-199.173743294044,-200.813568558983,2.7180699714725733,1.0782447065335532,1.6398252649390201
321G,HAl,HeMg,2,1.8,3.8532540242495212,-199.0043198431633,-199.173743294044,-200.813568558983,1.809248715819706,0.16942345088068578,1.6398252649390201
