Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
def2-TZVP,HAl,HeMg,1,1.3,3.752170061279352,-198.26407071505605,-199.911284562722,-200.900797887804,2.6367271727479533,1.6472138476659381,0.9895133250820152
def2-TZVP,HAl,HeMg,2,1.3,3.752170061279352,-199.7837689575704,-199.911284562722,-200.900797887804,1.1170289302336016,0.12751560515158644,0.9895133250820152
def2-TZVP,HAl,HeMg,3,1.3,3.752170061279352,-199.93367562570072,-199.911284562722,-200.900797887804,0.9671222621032882,-0.02239106297872695,0.9895133250820152
def2-TZVP,HAl,HeMg,4,1.3,3.752170061279352,-199.92446772361134,-199.911284562722,-200.900797887804,0.9763301641926603,-0.013183160889354895,0.9895133250820152
def2-TZVP,HAl,HeMg,5,1.3,3.752170061279352,-199.91137930660946,-199.911284562722,-200.900797887804,0.989418581194542,-9.474388747321427e-05,0.9895133250820152
def2-TZVP,HAl,HeMg,1,1.4000000000000001,3.805920087998846,-198.5749392952197,-200.258949506301,-201.247330464878,2.672391169658283,1.6840102110813007,0.9883809585769825
def2-TZVP,HAl,HeMg,2,1.4000000000000001,3.805920087998846,-200.13553606199082,-200.258949506301,-201.247330464878,1.1117944028871705,0.12341344431018797,0.9883809585769825
def2-TZVP,HAl,HeMg,3,1.4000000000000001,3.805920087998846,-200.28511273677037,-200.258949506301,-201.247330464878,0.9622177281076176,-0.026163230469364862,0.9883809585769825
def2-TZVP,HAl,HeMg,4,1.4000000000000001,3.805920087998846,-200.27070554232787,-200.258949506301,-201.247330464878,0.9766249225501156,-0.011756036026866923,0.9883809585769825
def2-TZVP,HAl,HeMg,5,1.4000000000000001,3.805920087998846,-200.25870346399043,-200.258949506301,-201.247330464878,0.9886270008875613,0.0002460423105787868,0.9883809585769825
def2-TZVP,HAl,HeMg,1,1.5,3.825184377343564,-198.82019149314067,-200.530384902022,-201.519469499319,2.699278006178332,1.710193408881338,0.9890845972969942
def2-TZVP,HAl,HeMg,2,1.5,3.825184377343564,-200.41033906204538,-200.530384902022,-201.519469499319,1.1091304372736204,0.12004583997662621,0.9890845972969942
def2-TZVP,HAl,HeMg,3,1.5,3.825184377343564,-200.5588613244418,-200.530384902022,-201.519469499319,0.9606081748771942,-0.028476422419799974,0.9890845972969942
def2-TZVP,HAl,HeMg,4,1.5,3.825184377343564,-200.5411514350525,-200.530384902022,-201.519469499319,0.9783180642664888,-0.010766533030505343,0.9890845972969942
def2-TZVP,HAl,HeMg,5,1.5,3.825184377343564,-200.5301439128423,-200.530384902022,-201.519469499319,0.9893255864766957,0.0002409891797015007,0.9890845972969942
def2-TZVP,HAl,HeMg,1,1.6,3.851063809330475,-199.0116888563581,-200.741818275832,-201.732231391807,2.7205425354489137,1.7301294194739114,0.9904131159750023
def2-TZVP,HAl,HeMg,2,1.6,3.851063809330475,-200.62400305478053,-200.741818275832,-201.732231391807,1.1082283370264747,0.11781522105147246,0.9904131159750023
def2-TZVP,HAl,HeMg,3,1.6,3.851063809330475,-200.77192556972383,-200.741818275832,-201.732231391807,0.9603058220831713,-0.030107293891830977,0.9904131159750023
def2-TZVP,HAl,HeMg,4,1.6,3.851063809330475,-200.75194457674735,-200.741818275832,-201.732231391807,0.9802868150596566,-0.01012630091534561,0.9904131159750023
def2-TZVP,HAl,HeMg,5,1.6,3.851063809330475,-200.74149219294134,-200.741818275832,-201.732231391807,0.9907391988656684,0.00032608289066615725,0.9904131159750023
def2-TZVP,HAl,HeMg,1,1.7000000000000002,3.8571879068887593,-199.15972939503098,-200.906507749888,-201.898156300748,2.7384269057170343,1.746778354857014,0.9916485508600204
def2-TZVP,HAl,HeMg,2,1.7000000000000002,3.8571879068887593,-200.78983877228055,-200.906507749888,-201.898156300748,1.1083175284674667,0.11666897760744632,0.9916485508600204
def2-TZVP,HAl,HeMg,3,1.7000000000000002,3.8571879068887593,-200.93792407260418,-200.906507749888,-201.898156300748,0.9602322281438376,-0.031416322716182776,0.9916485508600204
def2-TZVP,HAl,HeMg,4,1.7000000000000002,3.8571879068887593,-200.9161727010394,-200.906507749888,-201.898156300748,0.9819835997086273,-0.009664951151393097,0.9916485508600204
def2-TZVP,HAl,HeMg,5,1.7000000000000002,3.8571879068887593,-200.9059206995439,-200.906507749888,-201.898156300748,0.9922356012041007,0.0005870503440803532,0.9916485508600204
def2-TZVP,HAl,HeMg,1,1.8,3.8798571401648476,-199.27298938000092,-201.034957486785,-202.027373184186,2.7543838041850677,1.7619681067840816,0.9924156974009861
def2-TZVP,HAl,HeMg,2,1.8,3.8798571401648476,-200.91849512831908,-201.034957486785,-202.027373184186,1.10887805586691,0.1164623584659239,0.9924156974009861
def2-TZVP,HAl,HeMg,3,1.8,3.8798571401648476,-201.0675284447696,-201.034957486785,-202.027373184186,0.9598447394163827,-0.03257095798460341,0.9924156974009861
