Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
631G*,HAl,HeMg,1,1.3,3.755760298461279,-198.1565977150974,-199.0557621206,-200.788584978213,2.6319872631156045,0.8991644055026029,1.7328228576130016
631G*,HAl,HeMg,2,1.3,3.755760298461279,-198.90495296366174,-199.0557621206,-200.788584978213,1.8836320145512673,0.1508091569382657,1.7328228576130016
631G*,HAl,HeMg,3,1.3,3.755760298461279,-199.06292730616724,-199.0557621206,-200.788584978213,1.7256576720457701,-0.007165185567231447,1.7328228576130016
631G*,HAl,HeMg,4,1.3,3.755760298461279,-199.06508922078262,-199.0557621206,-200.788584978213,1.7234957574303849,-0.009327100182616732,1.7328228576130016
631G*,HAl,HeMg,5,1.3,3.755760298461279,-199.06114814902378,-199.0557621206,-200.788584978213,1.7274368291892301,-0.0053860284237714495,1.7328228576130016
631G*,HAl,HeMg,1,1.4000000000000001,3.81723924920687,-198.4720617582662,-199.412636847597,-201.157457741662,2.685395983395807,0.9405750893308209,1.7448208940649863
631G*,HAl,HeMg,2,1.4000000000000001,3.81723924920687,-199.24928705290765,-199.412636847597,-201.157457741662,1.9081706887543533,0.16334979468936695,1.7448208940649863
631G*,HAl,HeMg,3,1.4000000000000001,3.81723924920687,-199.42183824242102,-199.412636847597,-201.157457741662,1.7356194992409826,-0.009201394824003728,1.7448208940649863
631G*,HAl,HeMg,4,1.4000000000000001,3.81723924920687,-199.4245966422771,-199.412636847597,-201.157457741662,1.7328610993849054,-0.011959794680080904,1.7448208940649863
631G*,HAl,HeMg,5,1.4000000000000001,3.81723924920687,-199.42058937837402,-199.412636847597,-201.157457741662,1.7368683632879822,-0.007952530777004085,1.7448208940649863
631G*,HAl,HeMg,1,1.5,3.838384759964544,-198.722688409128,-199.701877893231,-201.443831177839,2.7211427687109904,0.9791894841029887,1.7419532846080017
631G*,HAl,HeMg,2,1.5,3.838384759964544,-199.52862850801756,-199.701877893231,-201.443831177839,1.91520266982144,0.17324938521343825,1.7419532846080017
631G*,HAl,HeMg,3,1.5,3.838384759964544,-199.71436223340024,-199.701877893231,-201.443831177839,1.7294689444387643,-0.012484340169237385,1.7419532846080017
631G*,HAl,HeMg,4,1.5,3.838384759964544,-199.71707436546995,-199.701877893231,-201.443831177839,1.7267568123690467,-0.015196472238955039,1.7419532846080017
